epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98359,1.64448,3.13339,1.43734,0.15357,0.57568,0.24141,0.11381,1.66391,inf,1.23081,0.00034,0.00034,0.00034
2,6.90094,1.4202,2.20165,1.16604,0.20108,0.75378,0.37501,0.22389,1.27773,inf,1.0837,0.00069538,0.00069538,0.00069538
3,9.84895,1.43241,1.38484,1.19538,0.86609,0.39269,0.60133,0.34872,1.45299,2.23523,1.18234,0.00104601,0.00104601,0.00104601
4,12.768,1.38453,1.10044,1.1765,0.70664,0.61512,0.6841,0.4073,1.36406,1.54554,1.18452,0.00139188,0.00139188,0.00139188
5,15.6214,1.33687,0.98586,1.16181,0.78611,0.7639,0.81657,0.50886,1.21449,1.04041,1.12195,0.00173301,0.00173301,0.00173301
6,18.2845,1.30049,0.93804,1.14815,0.81554,0.76877,0.83887,0.5541,1.1484,1.01426,1.12227,0.001934,0.001934,0.001934
7,20.915,1.22765,0.89798,1.11866,0.82193,0.76119,0.83694,0.54974,1.11952,0.95509,1.09898,0.0019208,0.0019208,0.0019208
8,23.595,1.20208,0.85045,1.10173,0.81325,0.75106,0.83456,0.55502,1.12891,0.90989,1.08245,0.0019076,0.0019076,0.0019076
9,26.4561,1.16792,0.8221,1.09039,0.82156,0.79585,0.868,0.59685,1.07523,0.85224,1.07564,0.0018944,0.0018944,0.0018944
10,29.1244,1.16377,0.81126,1.09323,0.84158,0.7749,0.87209,0.61018,1.04397,0.79203,1.0498,0.0018812,0.0018812,0.0018812
11,31.7775,1.16722,0.82127,1.09547,0.83792,0.78933,0.86938,0.5974,1.07813,0.79109,1.06008,0.001868,0.001868,0.001868
12,34.4472,1.18359,0.80335,1.09006,0.83929,0.79479,0.87604,0.60799,1.0518,0.77892,1.05104,0.0018548,0.0018548,0.0018548
13,37.0783,1.14104,0.78223,1.08704,0.83553,0.79004,0.87674,0.61213,1.0517,0.7845,1.05283,0.0018416,0.0018416,0.0018416
14,39.9301,1.11165,0.75748,1.07394,0.84943,0.79826,0.88335,0.62363,1.03274,0.75938,1.05359,0.0018284,0.0018284,0.0018284
15,42.7749,1.1149,0.77124,1.06959,0.83003,0.79321,0.87515,0.6165,1.05024,0.79462,1.05447,0.0018152,0.0018152,0.0018152
16,45.6192,1.10728,0.74859,1.06776,0.82531,0.80822,0.88546,0.63198,1.01959,0.75203,1.04101,0.001802,0.001802,0.001802
17,48.4587,1.10325,0.74422,1.06722,0.85063,0.79977,0.8851,0.63107,1.02483,0.73905,1.04442,0.0017888,0.0017888,0.0017888
18,51.0554,1.09694,0.74508,1.0657,0.82547,0.80577,0.88218,0.62726,1.02767,0.73819,1.03873,0.0017756,0.0017756,0.0017756
19,53.8498,1.12348,0.76564,1.07382,0.82806,0.79356,0.87425,0.60417,1.08949,0.76131,1.06605,0.0017624,0.0017624,0.0017624
20,56.5058,1.09803,0.74628,1.06849,0.82075,0.81186,0.87143,0.59293,1.1057,0.79103,1.07878,0.0017492,0.0017492,0.0017492
21,59.3118,1.12401,0.74345,1.06634,0.81681,0.82647,0.88169,0.60459,1.10666,0.7525,1.0633,0.001736,0.001736,0.001736
22,62.1406,1.09505,0.72768,1.05917,0.83702,0.80712,0.88648,0.63746,0.99615,0.71679,1.04187,0.0017228,0.0017228,0.0017228
23,64.8129,1.06691,0.72143,1.0495,0.83275,0.80922,0.8873,0.6397,0.99317,0.7054,1.0298,0.0017096,0.0017096,0.0017096
24,67.4928,1.05958,0.71707,1.0458,0.84843,0.79603,0.88788,0.63509,0.99817,0.71626,1.03712,0.0016964,0.0016964,0.0016964
25,70.1252,1.08787,0.72557,1.05243,0.83927,0.78573,0.88035,0.62707,0.99059,0.74529,1.02734,0.0016832,0.0016832,0.0016832
26,72.9475,1.0535,0.71904,1.05611,0.82769,0.79891,0.88195,0.63526,0.9866,0.71326,1.03143,0.00167,0.00167,0.00167
27,75.7576,1.04797,0.70323,1.04256,0.83652,0.81133,0.88966,0.63504,1.00607,0.69373,1.03113,0.0016568,0.0016568,0.0016568
28,78.3931,1.09554,0.73692,1.06743,0.83468,0.80447,0.88382,0.63578,0.99381,0.7032,1.03042,0.0016436,0.0016436,0.0016436
29,81.0722,1.06148,0.70444,1.04649,0.83928,0.81908,0.88845,0.64467,0.96242,0.68912,1.01803,0.0016304,0.0016304,0.0016304
30,83.7544,1.03291,0.6858,1.03681,0.83535,0.8233,0.89372,0.64635,0.9611,0.6793,1.01795,0.0016172,0.0016172,0.0016172
31,86.4233,1.02846,0.69127,1.04233,0.8446,0.80253,0.88882,0.64348,0.97085,0.69208,1.02164,0.001604,0.001604,0.001604
32,89.2347,1.05703,0.68871,1.05305,0.82836,0.8145,0.88909,0.64087,0.98076,0.68819,1.0228,0.0015908,0.0015908,0.0015908
33,92.0812,1.04194,0.69669,1.03909,0.83759,0.82436,0.88776,0.63642,0.98748,0.70592,1.02747,0.0015776,0.0015776,0.0015776
34,94.7149,1.06029,0.70835,1.05862,0.83444,0.8189,0.8897,0.64188,0.97973,0.70375,1.0188,0.0015644,0.0015644,0.0015644
35,97.3609,1.05394,0.68699,1.03874,0.82919,0.83844,0.8948,0.64165,0.96349,0.67473,1.01866,0.0015512,0.0015512,0.0015512
36,100.194,1.05486,0.67705,1.042,0.8368,0.82277,0.89557,0.64663,0.96674,0.66559,1.02699,0.001538,0.001538,0.001538
37,103.035,1.0477,0.68477,1.04131,0.83598,0.80905,0.89126,0.65006,0.94512,0.6634,1.02064,0.0015248,0.0015248,0.0015248
38,105.862,1.00694,0.67196,1.03617,0.8424,0.81277,0.89486,0.64895,0.96563,0.68535,1.02168,0.0015116,0.0015116,0.0015116
39,108.652,1.06075,0.68137,1.03798,0.83771,0.81151,0.88419,0.61935,1.00026,0.68153,1.04081,0.0014984,0.0014984,0.0014984
40,111.493,1.06399,0.68979,1.04918,0.8402,0.8226,0.89645,0.64564,0.97386,0.68348,1.03572,0.0014852,0.0014852,0.0014852
41,114.298,1.0337,0.68062,1.03551,0.8358,0.82774,0.89657,0.64718,0.97325,0.67195,1.02203,0.001472,0.001472,0.001472
42,117.156,1.02425,0.67651,1.03119,0.81997,0.81923,0.88725,0.63786,0.98879,0.69555,1.03351,0.0014588,0.0014588,0.0014588
43,119.953,1.0294,0.67969,1.04127,0.82641,0.81945,0.88923,0.64509,0.966,0.67547,1.02449,0.0014456,0.0014456,0.0014456
44,122.756,0.99012,0.67415,1.02748,0.82565,0.83261,0.89492,0.6465,0.96386,0.67266,1.02202,0.0014324,0.0014324,0.0014324
