epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65325,1.63519,2.08173,1.42206,0.31067,0.86836,0.70744,0.44411,1.1798,inf,1.1399,0.00034,0.00034,0.00034
2,8.70056,1.18548,0.77971,1.11909,0.78624,0.76385,0.83394,0.55937,1.10225,1.71618,1.09465,0.00069538,0.00069538,0.00069538
3,12.803,1.13605,0.76083,1.1107,0.79141,0.76276,0.80785,0.52223,1.21018,1.11096,1.13755,0.00104601,0.00104601,0.00104601
4,16.8125,1.12247,0.74228,1.09195,0.82326,0.79604,0.86899,0.59583,1.06657,0.99062,1.08165,0.00139188,0.00139188,0.00139188
5,20.8561,1.18032,0.74414,1.11103,0.81011,0.78458,0.86125,0.57107,1.11923,0.842,1.1006,0.00173301,0.00173301,0.00173301
6,24.8243,1.15949,0.75502,1.11831,0.82971,0.79444,0.8745,0.60384,1.05666,0.80086,1.08596,0.001934,0.001934,0.001934
7,28.8205,1.11078,0.71927,1.08755,0.82178,0.7925,0.87387,0.6018,1.06909,0.72398,1.09749,0.0019208,0.0019208,0.0019208
8,32.8313,1.11577,0.71824,1.08626,0.84268,0.79954,0.88574,0.626,1.017,0.74106,1.07908,0.0019076,0.0019076,0.0019076
9,36.8737,1.0575,0.67344,1.06579,0.83295,0.76085,0.85242,0.61685,0.99792,0.71446,1.05643,0.0018944,0.0018944,0.0018944
10,40.847,1.05143,0.65793,1.06532,0.84048,0.81873,0.89688,0.64881,0.96627,0.64435,1.04412,0.0018812,0.0018812,0.0018812
11,44.865,1.05024,0.66918,1.06594,0.8393,0.81806,0.88718,0.60774,1.06512,0.6752,1.0654,0.001868,0.001868,0.001868
12,48.8444,1.07285,0.65424,1.06138,0.82398,0.82101,0.89035,0.64626,0.96339,0.64385,1.04411,0.0018548,0.0018548,0.0018548
13,52.8109,1.03578,0.63218,1.05866,0.83751,0.81415,0.88863,0.62591,1.04182,0.67986,1.07728,0.0018416,0.0018416,0.0018416
14,56.7953,1.03434,0.63426,1.0567,0.82821,0.827,0.89593,0.64032,1.02684,0.6601,1.0854,0.0018284,0.0018284,0.0018284
15,60.7726,1.03011,0.63103,1.05315,0.83557,0.82548,0.89835,0.65322,0.9633,0.62127,1.04857,0.0018152,0.0018152,0.0018152
16,64.8477,1.00973,0.61725,1.04328,0.83125,0.83087,0.9016,0.66239,0.94112,0.62216,1.03593,0.001802,0.001802,0.001802
17,68.8879,0.9953,0.61577,1.03687,0.83975,0.81732,0.89869,0.66033,0.94717,0.64472,1.03878,0.0017888,0.0017888,0.0017888
18,72.801,0.99634,0.61333,1.04102,0.83233,0.83457,0.90335,0.65431,0.98926,0.64147,1.04758,0.0017756,0.0017756,0.0017756
19,76.7503,1.03064,0.63466,1.0511,0.81824,0.81802,0.89336,0.63886,1.02696,0.65725,1.0689,0.0017624,0.0017624,0.0017624
20,80.6994,0.97998,0.62098,1.03989,0.82936,0.83175,0.90157,0.65783,0.96393,0.63125,1.04601,0.0017492,0.0017492,0.0017492
21,84.6553,1.02119,0.62519,1.04124,0.83254,0.81538,0.89504,0.65235,0.96719,0.65554,1.05399,0.001736,0.001736,0.001736
22,88.6288,0.99292,0.61126,1.03642,0.83238,0.83316,0.89968,0.65709,0.95337,0.66507,1.04437,0.0017228,0.0017228,0.0017228
23,92.5974,0.96588,0.60093,1.02489,0.82683,0.83844,0.89583,0.65162,0.97263,0.62633,1.04645,0.0017096,0.0017096,0.0017096
24,96.5708,0.9578,0.59474,1.02222,0.82296,0.83281,0.8887,0.63834,1.02305,0.70921,1.07355,0.0016964,0.0016964,0.0016964
25,100.514,0.96766,0.59881,1.02584,0.83278,0.84319,0.90401,0.66209,0.92383,0.61427,1.02757,0.0016832,0.0016832,0.0016832
26,104.481,0.94355,0.58905,1.02856,0.83762,0.82013,0.89197,0.6582,0.94065,0.64413,1.0415,0.00167,0.00167,0.00167
27,108.453,0.9287,0.58491,1.01353,0.84144,0.83029,0.899,0.65868,0.94462,0.63112,1.04316,0.0016568,0.0016568,0.0016568
28,112.376,0.99008,0.63286,1.04298,0.82114,0.82656,0.89167,0.64586,0.99391,0.66715,1.06107,0.0016436,0.0016436,0.0016436
29,116.359,0.96422,0.60407,1.02244,0.82403,0.82242,0.89489,0.65976,0.94352,0.62327,1.03695,0.0016304,0.0016304,0.0016304
30,120.343,0.94307,0.58074,1.01184,0.84174,0.82656,0.90168,0.65365,0.97965,0.62238,1.04156,0.0016172,0.0016172,0.0016172
31,124.283,0.93128,0.57573,1.01331,0.82716,0.82313,0.89406,0.64567,0.96212,0.6082,1.03824,0.001604,0.001604,0.001604
32,128.233,0.95329,0.58125,1.02387,0.8311,0.83263,0.89745,0.64745,0.97773,0.6209,1.04092,0.0015908,0.0015908,0.0015908
33,132.201,0.93969,0.57594,1.01382,0.81894,0.83743,0.89084,0.65488,0.9457,0.65536,1.03439,0.0015776,0.0015776,0.0015776
34,136.148,0.95452,0.59388,1.02841,0.83322,0.82541,0.89754,0.66442,0.91285,0.62596,1.02363,0.0015644,0.0015644,0.0015644
35,140.194,0.94845,0.56902,1.0112,0.84642,0.82506,0.90138,0.66426,0.92543,0.63944,1.02812,0.0015512,0.0015512,0.0015512
36,144.262,0.94059,0.56488,1.00787,0.83629,0.8277,0.89055,0.64708,0.93399,0.6395,1.03051,0.001538,0.001538,0.001538
37,148.25,0.93601,0.56795,1.00805,0.83114,0.8321,0.90049,0.67076,0.90491,0.62329,1.02508,0.0015248,0.0015248,0.0015248
38,152.282,0.90375,0.55431,1.00097,0.83695,0.81028,0.8956,0.66318,0.91533,0.60817,1.02051,0.0015116,0.0015116,0.0015116
39,156.261,0.93899,0.56641,1.00085,0.82517,0.80324,0.88511,0.64732,0.93168,0.62717,1.03271,0.0014984,0.0014984,0.0014984
40,160.261,0.93373,0.56436,1.00672,0.83924,0.85551,0.90949,0.67486,0.90526,0.60883,1.01808,0.0014852,0.0014852,0.0014852
41,164.346,0.90844,0.55364,0.999,0.85389,0.83314,0.90817,0.67016,0.92246,0.60264,1.03017,0.001472,0.001472,0.001472
42,168.367,0.89979,0.54911,0.99286,0.83035,0.82177,0.89381,0.66552,0.91772,0.62981,1.0428,0.0014588,0.0014588,0.0014588
43,172.324,0.90619,0.55402,1.00823,0.82324,0.83404,0.89834,0.66704,0.91714,0.6058,1.03334,0.0014456,0.0014456,0.0014456
44,176.289,0.88645,0.54637,0.99434,0.84018,0.83879,0.90331,0.67006,0.92109,0.63648,1.02856,0.0014324,0.0014324,0.0014324
45,180.213,0.90644,0.54805,0.99292,0.83682,0.84113,0.90409,0.67039,0.92302,0.60659,1.03881,0.0014192,0.0014192,0.0014192
46,184.185,0.89386,0.53901,0.98839,0.83186,0.8481,0.90333,0.66275,0.94999,0.63034,1.04263,0.001406,0.001406,0.001406
47,188.197,0.89648,0.54025,0.98548,0.85247,0.83017,0.90675,0.66885,0.95344,0.63049,1.03847,0.0013928,0.0013928,0.0013928
48,192.197,0.89256,0.54656,0.99734,0.84636,0.82603,0.9017,0.67016,0.9268,0.60421,1.03158,0.0013796,0.0013796,0.0013796
49,196.166,0.89401,0.53962,0.98939,0.83515,0.84231,0.90493,0.67693,0.91009,0.59328,1.02118,0.0013664,0.0013664,0.0013664
50,200.216,0.89636,0.53383,0.99167,0.83312,0.82416,0.90011,0.66461,0.93412,0.59154,1.03146,0.0013532,0.0013532,0.0013532
51,204.207,0.92389,0.54217,0.9975,0.82221,0.83263,0.8946,0.65907,0.943,0.62341,1.0433,0.00134,0.00134,0.00134
52,208.201,0.88036,0.52608,0.97962,0.8374,0.84407,0.9061,0.67867,0.89755,0.58863,1.01666,0.0013268,0.0013268,0.0013268
53,212.288,0.86862,0.51832,0.97694,0.8405,0.82225,0.89967,0.67813,0.88355,0.58621,1.01115,0.0013136,0.0013136,0.0013136
54,216.233,0.87914,0.53321,0.98725,0.84035,0.84583,0.90573,0.67784,0.89892,0.5952,1.02701,0.0013004,0.0013004,0.0013004
55,220.184,0.86669,0.51589,0.97288,0.83581,0.83587,0.90262,0.66981,0.92727,0.59776,1.03098,0.0012872,0.0012872,0.0012872
56,224.135,0.88243,0.52939,0.97925,0.83424,0.83352,0.89903,0.67426,0.90094,0.59035,1.02183,0.001274,0.001274,0.001274
57,228.063,0.85455,0.51282,0.97596,0.83885,0.83245,0.90028,0.66998,0.91445,0.59401,1.02215,0.0012608,0.0012608,0.0012608
58,232.064,0.86773,0.52225,0.97844,0.82169,0.81943,0.89268,0.66932,0.90658,0.60738,1.01807,0.0012476,0.0012476,0.0012476
59,235.997,0.86753,0.52012,0.97785,0.83504,0.80273,0.89041,0.66354,0.90747,0.60746,1.02128,0.0012344,0.0012344,0.0012344
60,239.998,0.90276,0.52657,0.9842,0.84044,0.84635,0.90703,0.6787,0.89639,0.58507,1.01151,0.0012212,0.0012212,0.0012212
61,244.06,0.88439,0.5194,0.97517,0.83483,0.83245,0.90119,0.66978,0.92133,0.59001,1.03205,0.001208,0.001208,0.001208
62,248.03,0.8581,0.50598,0.97066,0.83304,0.80922,0.89085,0.66871,0.8987,0.6032,1.02315,0.0011948,0.0011948,0.0011948
63,252.015,0.85967,0.50632,0.97221,0.83305,0.84706,0.90495,0.67689,0.90848,0.62241,1.02786,0.0011816,0.0011816,0.0011816
64,256.009,0.85769,0.5153,0.9717,0.85277,0.82775,0.90459,0.67919,0.90452,0.59981,1.02346,0.0011684,0.0011684,0.0011684
65,260.043,0.86277,0.51524,0.96912,0.83905,0.83213,0.9021,0.67532,0.91146,0.60201,1.02225,0.0011552,0.0011552,0.0011552
66,264.015,0.85786,0.51035,0.97248,0.83084,0.83949,0.90102,0.67465,0.91059,0.62204,1.02429,0.001142,0.001142,0.001142
67,267.994,0.83589,0.48652,0.96365,0.83454,0.85392,0.90701,0.6854,0.88756,0.61293,1.02096,0.0011288,0.0011288,0.0011288
68,272.014,0.82712,0.48491,0.96114,0.84455,0.82964,0.90464,0.68454,0.88564,0.57419,1.01699,0.0011156,0.0011156,0.0011156
69,276.023,0.85784,0.50152,0.9784,0.81318,0.85938,0.9026,0.67459,0.90967,0.58979,1.01772,0.0011024,0.0011024,0.0011024
70,280.021,0.82821,0.49239,0.96806,0.84502,0.81151,0.89571,0.66622,0.90736,0.59193,1.01518,0.0010892,0.0010892,0.0010892
71,283.998,0.84169,0.49223,0.96798,0.83592,0.8189,0.89513,0.66591,0.91443,0.58441,1.02706,0.001076,0.001076,0.001076
72,288.02,0.86406,0.50049,0.96877,0.85246,0.81551,0.89807,0.66924,0.90633,0.58086,1.02227,0.0010628,0.0010628,0.0010628
73,291.976,0.82345,0.48765,0.96194,0.8291,0.83846,0.90054,0.6785,0.89951,0.59444,1.01484,0.0010496,0.0010496,0.0010496
74,295.953,0.82392,0.48648,0.95895,0.83373,0.83749,0.90071,0.67529,0.90743,0.60233,1.02533,0.0010364,0.0010364,0.0010364
75,299.907,0.81863,0.48222,0.96259,0.82694,0.84852,0.90174,0.6764,0.89328,0.60784,1.0209,0.0010232,0.0010232,0.0010232
76,303.889,0.79822,0.47594,0.95039,0.83274,0.84818,0.89988,0.67436,0.90928,0.62498,1.02364,0.00101,0.00101,0.00101
77,307.805,0.80082,0.47795,0.95806,0.8462,0.82313,0.90001,0.67697,0.89842,0.59744,1.02374,0.0009968,0.0009968,0.0009968
78,311.786,0.80036,0.47515,0.95694,0.84875,0.83058,0.90363,0.68248,0.88916,0.58351,1.02596,0.0009836,0.0009836,0.0009836
79,315.709,0.81608,0.47811,0.95911,0.85061,0.83703,0.9037,0.68153,0.89211,0.58576,1.02839,0.0009704,0.0009704,0.0009704
80,319.714,0.81997,0.47768,0.94948,0.84446,0.81996,0.89752,0.67938,0.87536,0.57812,1.01488,0.0009572,0.0009572,0.0009572
81,323.676,0.81285,0.47987,0.95641,0.85089,0.80377,0.8925,0.67196,0.8878,0.58894,1.01524,0.000944,0.000944,0.000944
82,327.666,0.81873,0.48041,0.95915,0.83051,0.83999,0.90141,0.68016,0.89112,0.5877,1.01562,0.0009308,0.0009308,0.0009308
83,331.656,0.8156,0.47617,0.95073,0.83601,0.84694,0.90508,0.68343,0.89525,0.58291,1.02814,0.0009176,0.0009176,0.0009176
84,335.637,0.82825,0.48105,0.95937,0.83969,0.8358,0.90289,0.68045,0.89355,0.59497,1.02473,0.0009044,0.0009044,0.0009044
85,339.601,0.80278,0.46405,0.94934,0.83938,0.8358,0.90222,0.68184,0.88227,0.57387,1.02214,0.0008912,0.0008912,0.0008912
86,343.558,0.80103,0.46636,0.95204,0.84029,0.84357,0.90308,0.68302,0.88773,0.57872,1.0186,0.000878,0.000878,0.000878
87,347.55,0.82916,0.47421,0.9524,0.84179,0.83904,0.90334,0.68364,0.88553,0.59341,1.02416,0.0008648,0.0008648,0.0008648
88,351.511,0.7937,0.46224,0.94705,0.8429,0.81591,0.89499,0.67661,0.89134,0.60228,1.02637,0.0008516,0.0008516,0.0008516
89,355.484,0.79473,0.4667,0.94521,0.84489,0.81626,0.89643,0.67639,0.89385,0.58782,1.0267,0.0008384,0.0008384,0.0008384
90,359.472,0.79243,0.45517,0.94517,0.841,0.83826,0.90298,0.67891,0.90821,0.57823,1.03079,0.0008252,0.0008252,0.0008252
91,363.409,0.793,0.45813,0.95182,0.8455,0.83212,0.90132,0.68045,0.88913,0.57449,1.01869,0.000812,0.000812,0.000812
92,367.406,0.79404,0.45813,0.94423,0.8393,0.82727,0.89679,0.67696,0.88877,0.58023,1.01822,0.0007988,0.0007988,0.0007988
93,371.396,0.77246,0.44973,0.93848,0.8264,0.84055,0.89633,0.67389,0.89983,0.58847,1.02437,0.0007856,0.0007856,0.0007856
94,375.382,0.78002,0.45193,0.94004,0.83218,0.8402,0.89945,0.67785,0.88637,0.59363,1.02316,0.0007724,0.0007724,0.0007724
95,379.318,0.78236,0.44962,0.93688,0.83458,0.84759,0.90438,0.68115,0.89857,0.58318,1.02849,0.0007592,0.0007592,0.0007592
96,383.315,0.77925,0.44787,0.9446,0.84894,0.82313,0.90096,0.68158,0.89311,0.58136,1.02351,0.000746,0.000746,0.000746
97,387.27,0.7849,0.44744,0.93693,0.82951,0.8629,0.90726,0.68799,0.87771,0.57669,1.02037,0.0007328,0.0007328,0.0007328
98,391.254,0.76826,0.44626,0.93869,0.83549,0.85805,0.9036,0.6817,0.89853,0.60717,1.03318,0.0007196,0.0007196,0.0007196
99,395.153,0.76332,0.44354,0.94255,0.84271,0.84201,0.9021,0.68565,0.87581,0.58773,1.02653,0.0007064,0.0007064,0.0007064
100,399.094,0.7814,0.44927,0.94267,0.83866,0.84988,0.90514,0.68537,0.88506,0.58034,1.02675,0.0006932,0.0006932,0.0006932
101,403.072,0.77889,0.44646,0.93764,0.83779,0.83897,0.90196,0.6825,0.8833,0.58039,1.02192,0.00068,0.00068,0.00068
102,407.047,0.76164,0.44315,0.93568,0.83811,0.83642,0.89773,0.68103,0.88255,0.58431,1.02091,0.0006668,0.0006668,0.0006668
103,410.991,0.76052,0.44103,0.93151,0.84786,0.83269,0.90224,0.68631,0.8811,0.57546,1.02052,0.0006536,0.0006536,0.0006536
104,414.926,0.75359,0.43814,0.932,0.84122,0.82999,0.89793,0.68198,0.8865,0.58792,1.03009,0.0006404,0.0006404,0.0006404
105,418.919,0.76778,0.43481,0.93256,0.85157,0.83351,0.90642,0.68642,0.89263,0.58089,1.03115,0.0006272,0.0006272,0.0006272
106,422.885,0.75296,0.43014,0.93106,0.83964,0.8453,0.90553,0.6863,0.88694,0.57526,1.02551,0.000614,0.000614,0.000614
107,426.821,0.74631,0.42942,0.93414,0.83111,0.83668,0.89864,0.68156,0.88404,0.58506,1.02518,0.0006008,0.0006008,0.0006008
108,430.784,0.75049,0.43054,0.93343,0.83895,0.84442,0.90633,0.68876,0.87356,0.57477,1.01833,0.0005876,0.0005876,0.0005876
109,434.773,0.76241,0.44137,0.94131,0.85417,0.82841,0.90503,0.68626,0.87385,0.55895,1.01994,0.0005744,0.0005744,0.0005744
110,438.697,0.74913,0.4323,0.93565,0.84355,0.83791,0.90344,0.6875,0.87685,0.56677,1.02426,0.0005612,0.0005612,0.0005612
111,442.655,0.76224,0.43534,0.93254,0.84296,0.83419,0.90461,0.689,0.87483,0.57171,1.01935,0.000548,0.000548,0.000548
112,446.748,0.75053,0.42767,0.92671,0.84853,0.83703,0.90731,0.6903,0.88103,0.57999,1.0259,0.0005348,0.0005348,0.0005348
113,450.767,0.7472,0.42199,0.92536,0.84772,0.83573,0.90361,0.68696,0.88228,0.57382,1.02068,0.0005216,0.0005216,0.0005216
114,454.698,0.74995,0.42665,0.92459,0.83952,0.84143,0.90542,0.6899,0.87352,0.56931,1.02351,0.0005084,0.0005084,0.0005084
115,458.65,0.72854,0.41407,0.91863,0.84999,0.83193,0.90524,0.68815,0.88847,0.57702,1.02802,0.0004952,0.0004952,0.0004952
116,462.619,0.73257,0.41727,0.92018,0.85386,0.82559,0.90394,0.68789,0.88241,0.57606,1.02687,0.000482,0.000482,0.000482
117,466.605,0.7426,0.41937,0.9229,0.84239,0.83316,0.90375,0.69183,0.87382,0.57675,1.02633,0.0004688,0.0004688,0.0004688
118,470.621,0.72815,0.41499,0.92029,0.83908,0.84521,0.9034,0.69267,0.8743,0.57579,1.02478,0.0004556,0.0004556,0.0004556
119,474.663,0.72049,0.41101,0.91853,0.84076,0.83826,0.90089,0.68661,0.88833,0.57628,1.02652,0.0004424,0.0004424,0.0004424
120,478.615,0.72324,0.41309,0.92121,0.83302,0.85777,0.90564,0.6897,0.87475,0.57947,1.02399,0.0004292,0.0004292,0.0004292
121,482.569,0.71317,0.4064,0.91442,0.84327,0.84653,0.90558,0.68572,0.89182,0.60422,1.03388,0.000416,0.000416,0.000416
122,486.551,0.72799,0.4122,0.92192,0.84558,0.83492,0.90504,0.69045,0.8744,0.58176,1.0252,0.0004028,0.0004028,0.0004028
123,490.523,0.729,0.41247,0.91791,0.84259,0.83937,0.90657,0.69237,0.87255,0.57632,1.0253,0.0003896,0.0003896,0.0003896
124,494.657,0.7336,0.41459,0.92221,0.83723,0.85269,0.90619,0.69132,0.87244,0.5796,1.02692,0.0003764,0.0003764,0.0003764
125,498.606,0.72138,0.40613,0.91524,0.84133,0.84442,0.90524,0.69158,0.86972,0.57372,1.02351,0.0003632,0.0003632,0.0003632
126,502.64,0.74044,0.41363,0.91673,0.84255,0.84284,0.90412,0.68866,0.8814,0.57741,1.0292,0.00035,0.00035,0.00035
127,506.619,0.72985,0.41062,0.91601,0.83461,0.8534,0.90784,0.6932,0.87443,0.56125,1.02483,0.0003368,0.0003368,0.0003368
128,510.677,0.72676,0.4084,0.91504,0.85571,0.83844,0.90811,0.69495,0.8679,0.56325,1.01766,0.0003236,0.0003236,0.0003236
129,514.723,0.72067,0.40551,0.9188,0.85395,0.8335,0.90546,0.69494,0.86812,0.56865,1.0239,0.0003104,0.0003104,0.0003104
130,518.781,0.71892,0.40143,0.9161,0.85065,0.82198,0.90214,0.68683,0.88374,0.58712,1.02384,0.0002972,0.0002972,0.0002972
131,522.757,0.7032,0.39538,0.91357,0.85619,0.81939,0.90003,0.68954,0.87582,0.5813,1.02428,0.000284,0.000284,0.000284
132,526.726,0.7032,0.39511,0.91292,0.83138,0.853,0.90497,0.69378,0.87062,0.57565,1.02047,0.0002708,0.0002708,0.0002708
133,530.638,0.70497,0.40167,0.92035,0.83349,0.8548,0.90741,0.69671,0.87136,0.57127,1.0247,0.0002576,0.0002576,0.0002576
134,534.664,0.70335,0.39521,0.9097,0.83595,0.85445,0.90903,0.69514,0.87116,0.5751,1.02603,0.0002444,0.0002444,0.0002444
135,538.6,0.70047,0.39471,0.90982,0.84992,0.83809,0.9086,0.69333,0.87071,0.5752,1.02373,0.0002312,0.0002312,0.0002312
136,542.575,0.72401,0.4044,0.91295,0.83861,0.84957,0.90845,0.69393,0.87625,0.57942,1.03147,0.000218,0.000218,0.000218
137,546.476,0.7052,0.3942,0.91271,0.84676,0.84025,0.90769,0.69566,0.87264,0.5754,1.02744,0.0002048,0.0002048,0.0002048
138,550.498,0.70786,0.39503,0.90797,0.84388,0.83717,0.90253,0.69068,0.87664,0.58107,1.02782,0.0001916,0.0001916,0.0001916
139,554.432,0.69222,0.39077,0.91071,0.84433,0.83668,0.89993,0.68929,0.87511,0.58426,1.0256,0.0001784,0.0001784,0.0001784
140,558.445,0.69889,0.3929,0.90754,0.84637,0.84178,0.90496,0.69432,0.86986,0.57482,1.02629,0.0001652,0.0001652,0.0001652
141,563.043,0.66787,0.37802,0.90264,0.83716,0.85058,0.90504,0.69079,0.87429,0.56712,1.02897,0.000152,0.000152,0.000152
142,566.783,0.66545,0.37437,0.89968,0.84225,0.84636,0.90502,0.68922,0.87248,0.56986,1.0306,0.0001388,0.0001388,0.0001388
143,570.484,0.64367,0.36052,0.89124,0.85365,0.82948,0.90113,0.68637,0.87242,0.57151,1.03051,0.0001256,0.0001256,0.0001256
144,574.206,0.64246,0.35877,0.89592,0.86168,0.81897,0.90215,0.68798,0.87756,0.57755,1.03467,0.0001124,0.0001124,0.0001124
145,577.918,0.6458,0.35972,0.89112,0.83026,0.85309,0.90261,0.68922,0.87659,0.58225,1.03488,9.92e-05,9.92e-05,9.92e-05
