epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,172.9,0.91693,0.57704,1.00632,0.82449,0.84412,0.90341,0.6726,0.9076,0.66202,1.03079,0.0014588,0.0014588,0.0014588
43,176.943,0.92727,0.58516,1.02272,0.81915,0.8458,0.90349,0.67942,0.88777,0.60027,1.0195,0.0014456,0.0014456,0.0014456
44,181.007,0.90255,0.57965,1.00655,0.84036,0.8321,0.90437,0.67173,0.91623,0.68086,1.026,0.0014324,0.0014324,0.0014324
45,185.018,0.92037,0.57993,1.00574,0.84275,0.81684,0.90308,0.66975,0.91114,0.59647,1.02431,0.0014192,0.0014192,0.0014192
46,189.097,0.91051,0.56649,1.00152,0.84735,0.81661,0.90336,0.66712,0.92742,0.60497,1.02742,0.001406,0.001406,0.001406
47,193.199,0.92587,0.55997,1.0011,0.83297,0.83643,0.9005,0.6651,0.94104,0.63133,1.0344,0.0013928,0.0013928,0.0013928
48,197.274,0.9216,0.58179,1.01236,0.82441,0.82207,0.89693,0.67111,0.9014,0.60907,1.02109,0.0013796,0.0013796,0.0013796
49,201.345,0.90651,0.56533,0.99903,0.83856,0.83615,0.90752,0.6802,0.88914,0.60217,1.01288,0.0013664,0.0013664,0.0013664
50,205.424,0.90371,0.56689,1.00072,0.82358,0.82594,0.89798,0.66918,0.90572,0.59794,1.02163,0.0013532,0.0013532,0.0013532
51,209.544,0.92831,0.57841,1.00198,0.83649,0.83281,0.90068,0.64275,0.99703,0.62458,1.0437,0.00134,0.00134,0.00134
52,213.627,0.89486,0.55667,0.99199,0.82869,0.85563,0.91185,0.6796,0.89696,0.57101,1.01403,0.0013268,0.0013268,0.0013268
53,217.743,0.90045,0.54995,0.99545,0.83572,0.83711,0.91061,0.67922,0.89317,0.58212,1.0154,0.0013136,0.0013136,0.0013136
54,221.787,0.90257,0.5685,1.00332,0.82947,0.84064,0.90519,0.67838,0.89693,0.60328,1.01562,0.0013004,0.0013004,0.0013004
55,225.835,0.88688,0.54578,0.98635,0.82195,0.84389,0.90332,0.67589,0.91634,0.62448,1.03141,0.0012872,0.0012872,0.0012872
