epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68439,1.64639,3.13674,1.44059,0.18225,0.68321,0.26444,0.1464,1.50759,inf,1.18577,0.00034,0.00034,0.00034
2,6.65097,1.42028,2.20018,1.16833,0.20845,0.78141,0.39408,0.24274,1.27334,inf,1.07496,0.00069538,0.00069538,0.00069538
3,9.64003,1.43438,1.37757,1.19377,0.80627,0.42591,0.58191,0.34508,1.42943,2.15092,1.16579,0.00104601,0.00104601,0.00104601
4,12.6041,1.37828,1.09614,1.17323,0.71332,0.62372,0.69097,0.39733,1.37586,1.5497,1.19114,0.00139188,0.00139188,0.00139188
5,15.4859,1.3339,0.9864,1.15914,0.78104,0.77508,0.81265,0.49961,1.22605,1.03381,1.12737,0.00173301,0.00173301,0.00173301
6,18.1832,1.28361,0.92935,1.14503,0.83093,0.76897,0.84732,0.56028,1.12614,1.01138,1.10886,0.001934,0.001934,0.001934
7,20.8486,1.23023,0.89535,1.1136,0.81446,0.74991,0.83205,0.52738,1.20854,0.96959,1.12612,0.0019208,0.0019208,0.0019208
8,23.5496,1.22821,0.85868,1.11196,0.8175,0.7568,0.82855,0.5401,1.17283,0.89197,1.09675,0.0019076,0.0019076,0.0019076
9,26.3962,1.17377,0.82898,1.09143,0.82491,0.78026,0.86025,0.58889,1.09851,0.82232,1.07775,0.0018944,0.0018944,0.0018944
10,29.0937,1.16481,0.80868,1.09333,0.82319,0.79285,0.86642,0.60263,1.06659,0.79753,1.05644,0.0018812,0.0018812,0.0018812
11,31.7932,1.17646,0.83505,1.09568,0.82653,0.79661,0.86218,0.58258,1.08874,0.82146,1.06222,0.001868,0.001868,0.001868
12,34.5048,1.18379,0.80402,1.09205,0.82458,0.80908,0.8774,0.61279,1.04324,0.79829,1.05156,0.0018548,0.0018548,0.0018548
13,37.1843,1.13731,0.77912,1.084,0.83184,0.80441,0.87937,0.61426,1.04311,0.76689,1.04255,0.0018416,0.0018416,0.0018416
14,40.0921,1.10989,0.75851,1.07465,0.83516,0.81098,0.88321,0.62259,1.03932,0.75814,1.05099,0.0018284,0.0018284,0.0018284
15,42.9785,1.11679,0.77468,1.06998,0.84047,0.78347,0.87516,0.61395,1.05581,0.78846,1.05803,0.0018152,0.0018152,0.0018152
16,45.8645,1.12184,0.75812,1.07445,0.81805,0.81081,0.88085,0.62296,1.03571,0.76666,1.04871,0.001802,0.001802,0.001802
17,48.7496,1.10815,0.75122,1.06992,0.83791,0.80244,0.88112,0.62029,1.04213,0.74966,1.0537,0.0017888,0.0017888,0.0017888
18,51.3795,1.11663,0.75296,1.07314,0.83271,0.80242,0.88104,0.61175,1.09066,0.75117,1.07302,0.0017756,0.0017756,0.0017756
19,54.2108,1.14639,0.77399,1.08451,0.82608,0.77983,0.87203,0.60668,1.06727,0.75932,1.05338,0.0017624,0.0017624,0.0017624
20,56.8872,1.12056,0.75322,1.07575,0.82432,0.81802,0.88158,0.60966,1.08251,0.74464,1.04916,0.0017492,0.0017492,0.0017492
21,59.7388,1.13977,0.75156,1.07197,0.83865,0.81169,0.88708,0.63787,0.99491,0.73042,1.03871,0.001736,0.001736,0.001736
22,62.6155,1.07564,0.71903,1.05739,0.84284,0.80799,0.88592,0.63328,1.00036,0.71265,1.03869,0.0017228,0.0017228,0.0017228
23,65.3244,1.05665,0.71466,1.04465,0.8314,0.81116,0.88548,0.63174,1.00688,0.71906,1.04035,0.0017096,0.0017096,0.0017096
24,68.0508,1.06502,0.71534,1.04839,0.83386,0.81616,0.8819,0.61148,1.08566,0.7934,1.06657,0.0016964,0.0016964,0.0016964
25,70.7253,1.08229,0.72184,1.05319,0.83225,0.81732,0.88761,0.63903,0.97295,0.71651,1.03175,0.0016832,0.0016832,0.0016832
26,73.6208,1.0507,0.71895,1.05533,0.82865,0.80516,0.88185,0.63874,0.97715,0.72296,1.03013,0.00167,0.00167,0.00167
27,76.4824,1.04697,0.7016,1.0425,0.83137,0.81626,0.88537,0.62574,1.02795,0.72671,1.04317,0.0016568,0.0016568,0.0016568
