epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,171.186,0.92545,0.58034,1.00715,0.84538,0.82841,0.90598,0.67502,0.90979,0.60461,1.03238,0.0014588,0.0014588,0.0014588
43,175.188,0.93165,0.58751,1.02523,0.83235,0.84301,0.90451,0.67509,0.90981,0.60705,1.0217,0.0014456,0.0014456,0.0014456
44,179.195,0.90688,0.58244,1.00775,0.83815,0.83879,0.90513,0.6708,0.92506,0.61511,1.02017,0.0014324,0.0014324,0.0014324
45,183.154,0.92794,0.5836,1.00688,0.83958,0.82532,0.90532,0.67456,0.91053,0.58703,1.01974,0.0014192,0.0014192,0.0014192
46,187.175,0.91582,0.56888,1.00381,0.83489,0.83298,0.90596,0.67409,0.90894,0.5921,1.01956,0.001406,0.001406,0.001406
47,191.224,0.91842,0.56073,0.9997,0.83653,0.8358,0.904,0.67675,0.90516,0.61367,1.02261,0.0013928,0.0013928,0.0013928
48,195.267,0.91081,0.57949,1.01108,0.82349,0.83791,0.90065,0.66941,0.9142,0.60771,1.02032,0.0013796,0.0013796,0.0013796
49,199.288,0.90776,0.56463,0.99958,0.82828,0.84741,0.90742,0.67566,0.90997,0.63042,1.01026,0.0013664,0.0013664,0.0013664
50,203.298,0.91133,0.56989,1.00254,0.83302,0.79722,0.89007,0.64947,0.96939,0.62575,1.04267,0.0013532,0.0013532,0.0013532
51,207.36,0.93455,0.58281,1.00671,0.83265,0.84284,0.90444,0.66792,0.91676,0.60396,1.0314,0.00134,0.00134,0.00134
52,211.4,0.90216,0.56127,0.99498,0.84582,0.84868,0.91108,0.68348,0.88844,0.57445,1.02161,0.0013268,0.0013268,0.0013268
53,215.546,0.89678,0.55127,0.99276,0.8341,0.83791,0.90883,0.6784,0.90761,0.59349,1.02522,0.0013136,0.0013136,0.0013136
54,219.549,0.91016,0.56964,1.00628,0.83879,0.84161,0.90711,0.682,0.8922,0.58815,1.01458,0.0013004,0.0013004,0.0013004
55,223.543,0.88543,0.54726,0.98589,0.84938,0.82911,0.90802,0.68242,0.88542,0.58488,1.01332,0.0012872,0.0012872,0.0012872
56,227.541,0.91576,0.56487,0.99851,0.82692,0.82402,0.8985,0.67367,0.88596,0.59177,1.01169,0.001274,0.001274,0.001274
57,231.528,0.88956,0.55014,0.99358,0.83024,0.84847,0.9084,0.67256,0.91522,0.59649,1.02507,0.0012608,0.0012608,0.0012608
58,235.587,0.89685,0.55421,0.99338,0.82757,0.8446,0.9084,0.67893,0.89717,0.58594,1.00579,0.0012476,0.0012476,0.0012476
59,239.572,0.88656,0.55047,0.98908,0.8208,0.84319,0.90124,0.67853,0.89261,0.60862,1.0113,0.0012344,0.0012344,0.0012344
60,243.629,0.92658,0.55443,0.99939,0.83661,0.83105,0.90012,0.66663,0.92335,0.59294,1.02431,0.0012212,0.0012212,0.0012212
61,247.675,0.89181,0.54578,0.98759,0.8397,0.82137,0.90043,0.67026,0.90855,0.58535,1.01899,0.001208,0.001208,0.001208
62,251.702,0.88473,0.54399,0.9866,0.83221,0.83189,0.9066,0.68179,0.88486,0.57657,1.00935,0.0011948,0.0011948,0.0011948
63,255.74,0.89494,0.54863,0.99088,0.83126,0.84161,0.89893,0.66443,0.92341,0.68943,1.03596,0.0011816,0.0011816,0.0011816
64,259.783,0.87511,0.55472,0.98796,0.82697,0.8285,0.89806,0.66851,0.92119,0.61006,1.02434,0.0011684,0.0011684,0.0011684
65,263.784,0.88471,0.54495,0.98298,0.8324,0.84055,0.90358,0.67778,0.89908,0.59187,1.01883,0.0011552,0.0011552,0.0011552
66,267.794,0.89278,0.5468,0.99073,0.84154,0.82066,0.89729,0.67184,0.89852,0.58866,1.01548,0.001142,0.001142,0.001142
67,271.828,0.86859,0.52684,0.98114,0.82458,0.86783,0.9089,0.68958,0.87436,0.59555,1.01192,0.0011288,0.0011288,0.0011288
68,275.885,0.8604,0.52334,0.97596,0.8376,0.846,0.90646,0.68585,0.87776,0.57597,1.01319,0.0011156,0.0011156,0.0011156
69,279.949,0.89702,0.54273,0.99367,0.81998,0.85134,0.90182,0.67589,0.91862,0.60337,1.01603,0.0011024,0.0011024,0.0011024
70,283.993,0.87246,0.53926,0.98767,0.83581,0.80289,0.89442,0.67358,0.89334,0.58135,1.01421,0.0010892,0.0010892,0.0010892
71,288.015,0.89166,0.53715,0.99006,0.81404,0.8409,0.89949,0.66983,0.91331,0.59708,1.02161,0.001076,0.001076,0.001076
72,292.08,0.89402,0.53909,0.98385,0.8354,0.84587,0.90749,0.67885,0.9061,0.58473,1.01907,0.0010628,0.0010628,0.0010628
73,296.117,0.85834,0.52418,0.97948,0.83222,0.84938,0.90711,0.68555,0.88961,0.60323,1.01602,0.0010496,0.0010496,0.0010496
74,300.119,0.85495,0.52007,0.97497,0.82341,0.84442,0.90088,0.67898,0.88645,0.59381,1.01323,0.0010364,0.0010364,0.0010364
75,304.11,0.84728,0.52124,0.97621,0.82308,0.84418,0.90159,0.6824,0.87966,0.58115,1.01241,0.0010232,0.0010232,0.0010232
76,308.146,0.83229,0.51411,0.96594,0.81995,0.83917,0.89402,0.67463,0.89067,0.59004,1.01788,0.00101,0.00101,0.00101
